"rain_accum","arc_length","Points:0","Points:1","Points:2"
0,36600,-38400,200,0
0,36750,-38250,200,0
0,36900,-38100,200,0
0,37050,-37950,200,0
0,37200,-37800,200,0
0,37350,-37650,200,0
0,37500,-37500,200,0
0,37650,-37350,200,0
0,37800,-37200,200,0
0,37950,-37050,200,0
0,38100,-36900,200,0
0,38250,-36750,200,0
0,38400,-36600,200,0
0,38550,-36450,200,0
0,38700,-36300,200,0
0,38850,-36150,200,0
0,39000,-36000,200,0
0,39150,-35850,200,0
0,39300,-35700,200,0
0,39450,-35550,200,0
0,39600,-35400,200,0
0,39750,-35250,200,0
0,39900,-35100,200,0
0,40050,-34950,200,0
0,40200,-34800,200,0
0,40350,-34650,200,0
0,40500,-34500,200,0
0,40650,-34350,200,0
0,40800,-34200,200,0
0,40950,-34050,200,0
0,41100,-33900,200,0
0,41250,-33750,200,0
0,41400,-33600,200,0
0,41550,-33450,200,0
0,41700,-33300,200,0
0,41850,-33150,200,0
0,42000,-33000,200,0
0,42150,-32850,200,0
0,42300,-32700,200,0
0,42450,-32550,200,0
0,42600,-32400,200,0
0,42750,-32250,200,0
0,42900,-32100,200,0
0,43050,-31950,200,0
0,43200,-31800,200,0
0,43350,-31650,200,0
0,43500,-31500,200,0
0,43650,-31350,200,0
0,43800,-31200,200,0
0,43950,-31050,200,0
0,44100,-30900,200,0
0,44250,-30750,200,0
0,44400,-30600,200,0
0,44550,-30450,200,0
0,44700,-30300,200,0
0,44850,-30150,200,0
0,45000,-30000,200,0
0,45150,-29850,200,0
0,45300,-29700,200,0
0,45450,-29550,200,0
0,45600,-29400,200,0
0,45750,-29250,200,0
0,45900,-29100,200,0
0,46050,-28950,200,0
0,46200,-28800,200,0
0,46350,-28650,200,0
0,46500,-28500,200,0
0,46650,-28350,200,0
0,46800,-28200,200,0
0,46950,-28050,200,0
0,47100,-27900,200,0
0,47250,-27750,200,0
0,47400,-27600,200,0
0,47550,-27450,200,0
0,47700,-27300,200,0
0,47850,-27150,200,0
0,48000,-27000,200,0
0,48150,-26850,200,0
0,48300,-26700,200,0
0,48450,-26550,200,0
0,48600,-26400,200,0
0,48750,-26250,200,0
0,48900,-26100,200,0
0,49050,-25950,200,0
0,49200,-25800,200,0
0,49350,-25650,200,0
0,49500,-25500,200,0
0,49650,-25350,200,0
0,49800,-25200,200,0
0,49950,-25050,200,0
0,50100,-24900,200,0
0,50250,-24750,200,0
0,50400,-24600,200,0
0,50550,-24450,200,0
0,50700,-24300,200,0
0,50850,-24150,200,0
0,51000,-24000,200,0
0,51150,-23850,200,0
0,51300,-23700,200,0
0,51450,-23550,200,0
0,51600,-23400,200,0
0,51750,-23250,200,0
0,51900,-23100,200,0
0,52050,-22950,200,0
0,52200,-22800,200,0
0,52350,-22650,200,0
0,52500,-22500,200,0
0,52650,-22350,200,0
0,52800,-22200,200,0
0,52950,-22050,200,0
0,53100,-21900,200,0
0,53250,-21750,200,0
0,53400,-21600,200,0
0,53550,-21450,200,0
0,53700,-21300,200,0
0,53850,-21150,200,0
0,54000,-21000,200,0
0,54150,-20850,200,0
0,54300,-20700,200,0
0,54450,-20550,200,0
0,54600,-20400,200,0
0,54750,-20250,200,0
0,54900,-20100,200,0
0,55050,-19950,200,0
0,55200,-19800,200,0
0,55350,-19650,200,0
0,55500,-19500,200,0
0,55650,-19350,200,0
0,55800,-19200,200,0
0,55950,-19050,200,0
0,56100,-18900,200,0
0,56250,-18750,200,0
0,56400,-18600,200,0
0,56550,-18450,200,0
0,56700,-18300,200,0
0,56850,-18150,200,0
0,57000,-18000,200,0
0,57150,-17850,200,0
0,57300,-17700,200,0
0,57450,-17550,200,0
0,57600,-17400,200,0
2.1457e-09,57750,-17250,200,0
9.9174e-08,57900,-17100,200,0
1.5115e-06,58050,-16950,200,0
6.0846e-06,58200,-16800,200,0
1.7185e-05,58350,-16650,200,0
3.4893e-05,58500,-16500,200,0
6.2344e-05,58650,-16350,200,0
9.8972e-05,58800,-16200,200,0
0.00014925,58950,-16050,200,0
0.00021262,59100,-15900,200,0
0.00029588,59250,-15750,200,0
0.00039858,59400,-15600,200,0
0.00053121,59550,-15450,200,0
0.00069342,59700,-15300,200,0
0.00090161,59850,-15150,200,0
0.0011556,60000,-15000,200,0
0.0014816,60150,-14850,200,0
0.0018798,60300,-14700,200,0
0.0023922,60450,-14550,200,0
0.00302,60600,-14400,200,0
0.0038312,60750,-14250,200,0
0.0048287,60900,-14100,200,0
0.0061237,61050,-13950,200,0
0.0077222,61200,-13800,200,0
0.0098063,61350,-13650,200,0
0.012386,61500,-13500,200,0
0.015757,61650,-13350,200,0
0.019934,61800,-13200,200,0
0.025392,61950,-13050,200,0
0.032144,62100,-12900,200,0
0.040938,62250,-12750,200,0
0.051779,62400,-12600,200,0
0.065818,62550,-12450,200,0
0.08303,62700,-12300,200,0
0.10515,62850,-12150,200,0
0.13212,63000,-12000,200,0
0.16657,63150,-11850,200,0
0.2084,63300,-11700,200,0
0.26155,63450,-11550,200,0
0.32571,63600,-11400,200,0
0.40649,63750,-11250,200,0
0.50318,63900,-11100,200,0
0.62347,64050,-10950,200,0
0.76591,64200,-10800,200,0
0.94045,64350,-10650,200,0
1.1444,64500,-10500,200,0
1.3902,64650,-10350,200,0
1.6738,64800,-10200,200,0
2.0111,64950,-10050,200,0
2.3978,65100,-9900,200,0
2.8563,65250,-9750,200,0
3.3827,65400,-9600,200,0
4.01,65550,-9450,200,0
4.733,65700,-9300,200,0
5.5962,65850,-9150,200,0
6.5885,66000,-9000,200,0
7.7611,66150,-8850,200,0
9.0901,66300,-8700,200,0
10.621,66450,-8550,200,0
12.312,66600,-8400,200,0
14.185,66750,-8250,200,0
16.181,66900,-8100,200,0
18.291,67050,-7950,200,0
20.46,67200,-7800,200,0
22.668,67350,-7650,200,0
24.893,67500,-7500,200,0
27.148,67650,-7350,200,0
29.456,67800,-7200,200,0
31.894,67950,-7050,200,0
34.509,68100,-6900,200,0
37.456,68250,-6750,200,0
40.768,68400,-6600,200,0
44.664,68550,-6450,200,0
49.125,68700,-6300,200,0
54.401,68850,-6150,200,0
60.403,69000,-6000,200,0
67.384,69150,-5850,200,0
75.183,69300,-5700,200,0
84.003,69450,-5550,200,0
93.58,69600,-5400,200,0
103.92,69750,-5250,200,0
114.61,69900,-5100,200,0
125.27,70050,-4950,200,0
135.41,70200,-4800,200,0
144.2,70350,-4650,200,0
151.44,70500,-4500,200,0
156.63,70650,-4350,200,0
160.65,70800,-4200,200,0
164.12,70950,-4050,200,0
167.48,71100,-3900,200,0
170.19,71250,-3750,200,0
171.74,71400,-3600,200,0
171.3,71550,-3450,200,0
169.05,71700,-3300,200,0
164.49,71850,-3150,200,0
158.2,72000,-3000,200,0
150.12,72150,-2850,200,0
141.1,72300,-2700,200,0
131.58,72450,-2550,200,0
122.16,72600,-2400,200,0
113.24,72750,-2250,200,0
104.83,72900,-2100,200,0
97.092,73050,-1950,200,0
89.866,73200,-1800,200,0
83.328,73350,-1650,200,0
77.43,73500,-1500,200,0
72.391,73650,-1350,200,0
67.97,73800,-1200,200,0
64.11,73950,-1050,200,0
60.515,74100,-900,200,0
57.047,74250,-750,200,0
53.565,74400,-600,200,0
50.007,74550,-450,200,0
46.398,74700,-300,200,0
42.789,74850,-150,200,0
40.406,75000,0,200,0
35.881,75150,150,200,0
32.695,75300,300,200,0
29.755,75450,450,200,0
27.003,75600,600,200,0
24.463,75750,750,200,0
22.081,75900,900,200,0
19.895,76050,1050,200,0
17.868,76200,1200,200,0
16.045,76350,1350,200,0
14.381,76500,1500,200,0
12.909,76650,1650,200,0
11.577,76800,1800,200,0
10.408,76950,1950,200,0
9.3607,77100,2100,200,0
8.46,77250,2250,200,0
7.6759,77400,2400,200,0
7.0363,77550,2550,200,0
6.5088,77700,2700,200,0
6.1105,77850,2850,200,0
5.8027,78000,3000,200,0
5.5875,78150,3150,200,0
5.4285,78300,3300,200,0
5.3186,78450,3450,200,0
5.233,78600,3600,200,0
5.1631,78750,3750,200,0
5.0971,78900,3900,200,0
5.0292,79050,4050,200,0
4.9567,79200,4200,200,0
4.8772,79350,4350,200,0
4.7924,79500,4500,200,0
4.702,79650,4650,200,0
4.6083,79800,4800,200,0
4.512,79950,4950,200,0
4.4146,80100,5100,200,0
4.3163,80250,5250,200,0
4.2172,80400,5400,200,0
4.1165,80550,5550,200,0
4.0133,80700,5700,200,0
3.9054,80850,5850,200,0
3.7923,81000,6000,200,0
3.6714,81150,6150,200,0
3.5433,81300,6300,200,0
3.406,81450,6450,200,0
3.2618,81600,6600,200,0
3.1103,81750,6750,200,0
2.9542,81900,6900,200,0
2.7949,82050,7050,200,0
2.6346,82200,7200,200,0
2.4754,82350,7350,200,0
2.3185,82500,7500,200,0
2.1661,82650,7650,200,0
2.0183,82800,7800,200,0
1.8771,82950,7950,200,0
1.7418,83100,8100,200,0
1.6147,83250,8250,200,0
1.4947,83400,8400,200,0
1.3841,83550,8550,200,0
1.2815,83700,8700,200,0
1.1894,83850,8850,200,0
1.106,84000,9000,200,0
1.0334,84150,9150,200,0
0.96938,84300,9300,200,0
0.91561,84450,9450,200,0
0.86948,84600,9600,200,0
0.83201,84750,9750,200,0
0.80064,84900,9900,200,0
0.77577,85050,10050,200,0
0.75519,85200,10200,200,0
0.73885,85350,10350,200,0
0.72505,85500,10500,200,0
0.71347,85650,10650,200,0
0.70295,85800,10800,200,0
0.69305,85950,10950,200,0
0.68314,86100,11100,200,0
0.67273,86250,11250,200,0
0.66163,86400,11400,200,0
0.64944,86550,11550,200,0
0.63628,86700,11700,200,0
0.62193,86850,11850,200,0
0.60671,87000,12000,200,0
0.59061,87150,12150,200,0
0.57401,87300,12300,200,0
0.55712,87450,12450,200,0
0.54027,87600,12600,200,0
0.52382,87750,12750,200,0
0.50795,87900,12900,200,0
0.49305,88050,13050,200,0
0.47909,88200,13200,200,0
0.4664,88350,13350,200,0
0.45475,88500,13500,200,0
0.44429,88650,13650,200,0
0.43466,88800,13800,200,0
0.42582,88950,13950,200,0
0.41736,89100,14100,200,0
0.40904,89250,14250,200,0
0.40053,89400,14400,200,0
0.39143,89550,14550,200,0
0.38156,89700,14700,200,0
0.37044,89850,14850,200,0
0.35811,90000,15000,200,0
0.34409,90150,15150,200,0
0.32862,90300,15300,200,0
0.31134,90450,15450,200,0
